swinging_strike,0,0,-0.129,2.772,3.67,1.69
ball,0,1,-0.848,3.864,3.79,1.69
ball,1,1,0.476,1.085,3.73,1.83
ball,2,1,0.57,1.208,3.78,1.63
blocked_ball,3,1,0.954,0.072,3.75,1.69
ball,0,0,0.786,1.252,3.72,1.69
blocked_ball,1,0,-0.09,1.051,3.78,1.69
blocked_ball,2,0,-1.118,0.724,3.78,1.76
ball,3,0,-1.448,1.918,3.81,1.69
hit_into_play_no_out,0,0,-0.334,2.676,3.66,1.69
foul_tip,0,0,-0.341,2.5,3.66,1.69
ball,0,1,1.627,2.661,3.68,1.69
called_strike,1,1,0.951,2.121,3.87,1.69
ball,1,2,-1.557,2.358,3.51,1.69
hit_into_play,2,2,-0.092,2.356,3.66,1.69
ball,0,0,-1.199,1.096,3.68,1.69
ball,1,0,1.262,3.39,3.76,1.69
hit_into_play,2,0,0.305,2.72,3.66,1.69
ball,0,0,-1.331,0.963,3.89,1.83
called_strike,1,0,-0.601,2.669,3.88,1.69
called_strike,1,1,0.229,2.797,3.83,1.69
ball,1,2,-1.052,0.639,3.75,1.69
ball,2,2,-1.668,1.797,3.75,1.69
hit_into_play,3,2,-0.605,1.784,3.66,1.69
foul,0,0,-1.293,2.594,3.72,1.69
ball,0,1,0.897,1.641,3.75,1.75
foul,1,1,0.492,1.539,3.66,1.69
hit_into_play_no_out,1,2,0.702,1.513,3.66,1.69
ball,0,0,-0.38,3.591,3.76,1.7
ball,1,0,0.734,1.42,3.69,1.7
foul,2,0,-0.697,1.934,3.69,1.7
hit_into_play,2,1,-0.532,1.639,3.69,1.7
called_strike,0,0,0.639,2.345,3.69,1.7
ball,0,1,0.906,2.621,3.69,1.7
ball,1,1,0.804,2.729,3.79,1.7
swinging_strike,2,1,-0.959,2.458,3.69,1.7
foul,2,2,-0.041,3.413,3.69,1.7
ball,2,2,0.2,1.193,3.69,1.7
hit_into_play_score,3,2,-0.217,1.809,3.69,1.7
ball,0,0,-1.925,4.329,3.69,1.7
foul,1,0,-0.355,3.397,3.69,1.7
foul,1,1,0.3,2.657,3.69,1.7
ball,1,2,-1.114,0.661,3.69,1.7
ball,2,2,-0.225,-0.535,3.69,1.7
hit_into_play_no_out,3,2,-0.365,2.97,3.69,1.7
ball,0,0,-1.57,1.779,3.69,1.7
called_strike,1,0,-0.719,1.809,3.69,1.7
